title,price,image,details
Сотовый телефон BRAVIS A503 Joy золотой,"
6280 сом
","https://www.kivano.kg/images/product/34266/34266.jpg
",/product/view/sotovyy-telefon-bravis-a503-joy-zolotoy
Сотовый телефон BRAVIS A503 Joy белый,"
6280 сом
","https://www.kivano.kg/images/product/34267/34267.jpg
",/product/view/sotovyy-telefon-bravis-a503-joy-belyy
Сотовый телефон Ergo A502 Aurum белый,"
5940 сом
","https://www.kivano.kg/images/product/40680/40680.jpg
",/product/view/sotovyy-telefon-ergo-a502-aurum-belyy
Сотовый телефон Xiaomi Poco X3 Pro 8/256GB бронзовый,"

 22160 сом
-1%

21990 сом
","https://www.kivano.kg/images/product/92911/1621774176_02753400.jpg
",/product/view/sotovyy-telefon-xiaomi-poco-x3-pro-8-256gb-bronzovyy
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный,"
28440 сом
","https://www.kivano.kg/images/product/92416/1620918509_22515500.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-11-lite-5g-8-128gb-chernyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) белый,"
33370 сом
","https://www.kivano.kg/images/product/96000/1628420648_20137600.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-256gb-sm-a525f-ds-belyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) голубой,"
33370 сом
","https://www.kivano.kg/images/product/96001/1628420805_39997400.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-256gb-sm-a525f-ds-goluboy
Сотовый телефон Huawei P smart Z 4/64GB черный,"
15370 сом
","https://www.kivano.kg/images/product/70402/70402.jpg
",/product/view/sotovyy-telefon-huawei-p-smart-z-4-64gb-chernyy
Сотовый телефон Vertex D552 синий,"
1360 сом
","https://www.kivano.kg/images/product/92930/1621785968_78032200.jpg
",/product/view/sotovyy-telefon-vertex-d552-siniy
Сотовый телефон Vertex D552 красный,"
1360 сом
","https://www.kivano.kg/images/product/92931/1621786009_50204600.jpg
",/product/view/sotovyy-telefon-vertex-d552-krasnyy
